Couple,EducLevel,Salary,Cars,Home,Savings,SCIndex
263,4,132,43,169,197,9
264,1,69,21,73,1243,1
265,3,89,46,238,244,8
266,4,96,33,224,317,6
267,3,62,27,171,550,2
268,3,140,52,220,545,10
269,2,66,37,100,645,1
270,2,103,53,206,288,9
271,4,119,36,168,758,4
272,4,123,36,153,426,5
273,4,106,41,191,5,6
274,2,59,23,50,1205,1
